               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,            0.030509,            0.053616,           0.0097127,             0.75206,             0.77537,             0.77086,             0.48712,            0.037436,            0.080612,            0.019514,            0.005776,            0.005776,            0.005776
                  66,            0.030455,            0.052316,           0.0090171,             0.78229,             0.74463,             0.78047,              0.4619,            0.039606,            0.086105,             0.01898,             0.00571,             0.00571,             0.00571
                  67,            0.030885,            0.050478,           0.0094454,             0.79587,             0.73784,             0.78352,             0.46535,            0.040569,            0.082565,            0.018609,            0.005644,            0.005644,            0.005644
                  68,            0.031877,            0.051726,           0.0092898,             0.79816,             0.73931,             0.79678,             0.50146,            0.038748,            0.080063,            0.018388,            0.005578,            0.005578,            0.005578
                  69,            0.030615,            0.051742,            0.009275,             0.78492,             0.75844,             0.79573,             0.47881,            0.039743,            0.081406,             0.01831,            0.005512,            0.005512,            0.005512
                  70,            0.032011,              0.0468,           0.0092072,             0.76936,             0.75899,             0.78975,             0.47696,            0.039767,            0.080856,            0.018612,            0.005446,            0.005446,            0.005446
                  71,            0.031977,            0.048557,           0.0099989,             0.77512,              0.7268,             0.78563,             0.47015,            0.040467,              0.0802,            0.019167,             0.00538,             0.00538,             0.00538
                  72,            0.031992,            0.052582,           0.0097491,             0.75643,             0.76057,             0.78296,             0.49627,            0.038081,            0.080948,            0.019194,            0.005314,            0.005314,            0.005314
                  73,            0.029332,            0.047983,             0.00932,             0.78648,             0.73927,             0.78333,             0.48643,            0.039211,            0.079376,            0.019066,            0.005248,            0.005248,            0.005248
                  74,            0.032212,            0.051732,            0.009145,             0.78826,             0.72809,             0.78068,             0.48014,            0.037861,            0.079422,            0.018815,            0.005182,            0.005182,            0.005182
                  75,            0.031931,            0.049044,            0.010105,             0.81258,             0.73437,             0.79814,             0.46826,            0.039695,              0.0793,            0.018123,            0.005116,            0.005116,            0.005116
                  76,            0.032418,            0.053362,            0.009745,             0.78905,             0.74563,             0.79531,             0.50789,             0.03707,            0.078873,            0.018097,             0.00505,             0.00505,             0.00505
                  77,            0.029389,            0.050713,           0.0094587,             0.79875,             0.73376,             0.79821,             0.51266,            0.037334,             0.07959,            0.018502,            0.004984,            0.004984,            0.004984
                  78,            0.029328,            0.052628,           0.0092572,             0.78963,             0.74054,             0.79582,             0.50519,            0.037767,            0.086029,            0.018235,            0.004918,            0.004918,            0.004918
                  79,            0.030545,            0.049147,           0.0094218,             0.76505,             0.78643,             0.80118,             0.50051,            0.038162,            0.083847,            0.017859,            0.004852,            0.004852,            0.004852
                  80,            0.030817,            0.051805,           0.0093443,             0.77359,             0.78554,             0.80084,             0.50304,            0.038445,             0.08284,             0.01787,            0.004786,            0.004786,            0.004786
                  81,            0.030957,            0.052937,           0.0091432,             0.76878,             0.79451,             0.80192,             0.51894,             0.03722,            0.082428,            0.018051,             0.00472,             0.00472,             0.00472
                  82,            0.029806,            0.052104,           0.0081433,             0.74447,             0.77915,             0.79409,             0.48903,            0.038896,            0.082596,            0.017899,            0.004654,            0.004654,            0.004654
                  83,            0.027904,            0.049636,           0.0084806,             0.73807,             0.79119,             0.78957,             0.48335,            0.039486,            0.083298,            0.018831,            0.004588,            0.004588,            0.004588
                  84,              0.0297,            0.049929,            0.008992,             0.74281,             0.78638,             0.78815,             0.51137,            0.037005,             0.08197,             0.01937,            0.004522,            0.004522,            0.004522
                  85,            0.028666,            0.050077,           0.0095214,              0.7788,             0.74841,             0.78611,             0.50292,            0.037952,            0.081833,            0.019824,            0.004456,            0.004456,            0.004456
                  86,            0.028447,            0.048365,           0.0085242,             0.77259,             0.74928,             0.78733,             0.50259,            0.038056,            0.083298,            0.019739,             0.00439,             0.00439,             0.00439
                  87,            0.029345,            0.049042,           0.0088443,             0.78376,              0.7425,             0.78529,             0.49851,            0.038345,            0.083801,            0.019087,            0.004324,            0.004324,            0.004324
                  88,            0.029636,            0.049836,           0.0087274,             0.77521,             0.72387,             0.77989,             0.50059,            0.038489,            0.085815,            0.019055,            0.004258,            0.004258,            0.004258
                  89,            0.028227,            0.048065,           0.0084859,             0.71494,             0.77357,             0.77456,             0.48873,            0.039303,            0.087372,            0.019557,            0.004192,            0.004192,            0.004192
                  90,            0.029339,            0.047732,           0.0091334,             0.75908,             0.74058,             0.78133,             0.51562,            0.037333,            0.086502,            0.019968,            0.004126,            0.004126,            0.004126
                  91,            0.027738,            0.046077,           0.0078899,             0.77522,             0.75813,             0.78513,             0.50691,             0.03879,            0.084717,            0.019584,             0.00406,             0.00406,             0.00406
                  92,            0.029158,            0.050648,           0.0083347,             0.76633,             0.76482,             0.79924,             0.52255,            0.037393,            0.082321,            0.019579,            0.003994,            0.003994,            0.003994
                  93,             0.02786,            0.046549,           0.0088052,             0.75464,             0.76938,             0.78783,             0.51349,            0.038041,            0.080444,            0.020267,            0.003928,            0.003928,            0.003928
                  94,            0.027197,            0.049141,           0.0081368,             0.77391,             0.76496,             0.79159,             0.52348,            0.037069,            0.078995,            0.019931,            0.003862,            0.003862,            0.003862
                  95,            0.028239,            0.046577,           0.0087685,             0.74081,             0.76745,             0.80311,             0.51618,            0.038307,            0.078842,            0.020027,            0.003796,            0.003796,            0.003796
                  96,            0.028901,            0.047425,           0.0083872,             0.80134,             0.71603,             0.80605,             0.54613,            0.036074,            0.076904,            0.019589,             0.00373,             0.00373,             0.00373
                  97,             0.02645,            0.047086,           0.0084147,             0.82537,             0.73511,              0.8132,             0.52444,             0.03801,            0.077515,             0.01819,            0.003664,            0.003664,            0.003664
                  98,            0.028666,            0.045565,           0.0081319,             0.82246,             0.74503,             0.82064,             0.56105,            0.035662,            0.077057,            0.017813,            0.003598,            0.003598,            0.003598
                  99,            0.027091,            0.047409,           0.0085427,             0.75755,              0.7998,              0.8173,             0.53763,            0.036653,            0.079193,            0.017141,            0.003532,            0.003532,            0.003532
                 100,            0.028447,            0.047119,           0.0085769,             0.74851,             0.79563,             0.81835,             0.53526,            0.036488,             0.07959,            0.017226,            0.003466,            0.003466,            0.003466
                 101,            0.025647,            0.043441,           0.0078005,             0.75842,             0.80124,              0.8125,             0.52694,            0.037537,            0.080185,            0.017162,              0.0034,              0.0034,              0.0034
                 102,            0.026755,            0.047108,            0.007404,             0.75529,             0.80484,             0.82151,             0.53711,             0.03618,            0.079727,            0.017095,            0.003334,            0.003334,            0.003334
                 103,            0.026873,            0.046541,           0.0080265,             0.80993,             0.77157,             0.81646,              0.5297,            0.037035,            0.080261,            0.016882,            0.003268,            0.003268,            0.003268
                 104,            0.028511,            0.052138,           0.0087984,             0.78627,             0.79598,             0.81385,             0.54935,            0.035477,            0.079224,            0.017202,            0.003202,            0.003202,            0.003202
                 105,            0.026623,            0.049584,           0.0077492,             0.80637,             0.78253,             0.80833,             0.55033,            0.035983,            0.080551,            0.017715,            0.003136,            0.003136,            0.003136
                 106,            0.027468,             0.04944,           0.0080785,             0.78105,             0.79647,             0.80681,             0.53328,             0.03673,            0.081375,            0.017731,             0.00307,             0.00307,             0.00307
                 107,            0.028267,            0.051073,           0.0079826,              0.7975,             0.78125,             0.81362,             0.51634,            0.037591,             0.08136,            0.017442,            0.003004,            0.003004,            0.003004
                 108,            0.026842,            0.047331,           0.0077671,             0.79761,             0.78266,             0.80352,             0.54547,            0.035642,            0.080872,             0.01736,            0.002938,            0.002938,            0.002938
                 109,            0.024466,            0.044388,           0.0071979,             0.82926,             0.77269,             0.81109,             0.52957,            0.037039,             0.08075,             0.01709,            0.002872,            0.002872,            0.002872
                 110,            0.027635,            0.052219,           0.0075512,             0.83095,             0.77216,             0.81724,              0.5448,            0.035579,            0.079849,            0.017007,            0.002806,            0.002806,            0.002806
                 111,            0.025585,            0.045559,           0.0078843,             0.83054,             0.77495,             0.80834,             0.52728,            0.037159,            0.082825,            0.017287,             0.00274,             0.00274,             0.00274
                 112,            0.026403,            0.047215,           0.0077116,              0.8281,             0.76455,             0.80977,             0.55653,            0.035152,             0.08197,            0.017496,            0.002674,            0.002674,            0.002674
                 113,             0.02312,            0.043646,           0.0075848,             0.83207,              0.7074,             0.80577,             0.55048,            0.035824,            0.081482,            0.017162,            0.002608,            0.002608,            0.002608
                 114,            0.025583,            0.044257,           0.0072796,             0.78135,             0.76411,             0.81627,             0.55683,            0.035087,            0.079803,            0.017117,            0.002542,            0.002542,            0.002542
